filename,width,height,class,xmin,ymin,xmax,ymax
239.jpg,966,548,no_hat,559,182,626,277
239.jpg,966,548,no_hat,719,93,767,163
241.jpg,967,552,no_hat,442,10,524,151
243.jpg,960,547,no_hat,488,1,584,63
245.jpg,963,553,no_hat,32,146,101,256
246.jpg,963,589,no_hat,170,216,284,333
246.jpg,963,589,no_hat,432,104,494,191
248.jpg,964,561,no_hat,414,203,490,300
249.jpg,963,553,no_hat,850,30,963,195
250.jpg,964,590,no_hat,297,158,444,370
252.jpg,965,589,no_hat,361,313,441,404
252.jpg,965,589,no_hat,148,264,225,387
253.jpg,965,591,no_hat,143,270,211,382
253.jpg,965,591,no_hat,296,465,352,547
254.jpg,964,589,no_hat,201,237,340,506
254.jpg,964,589,no_hat,675,1,711,33
255.jpg,962,589,no_hat,229,220,320,367
256.jpg,961,589,no_hat,349,257,429,443
257.jpg,962,586,no_hat,524,85,597,190
258.jpg,967,549,no_hat,407,54,485,190
259.jpg,961,549,no_hat,54,267,134,459
260.jpg,965,550,no_hat,396,133,478,303
260.jpg,965,550,no_hat,656,237,756,436
262.jpg,965,590,no_hat,378,123,425,198
263.jpg,962,549,no_hat,476,117,521,172
273.jpg,965,589,no_hat,603,1,674,24
276.jpg,963,587,no_hat,71,56,108,100
280.jpg,963,550,no_hat,147,21,218,140
284.jpg,964,589,no_hat,392,1,417,20
286.jpg,961,552,no_hat,131,122,175,178
286.jpg,961,552,no_hat,52,232,148,285
292.jpg,965,572,no_hat,865,1,937,126
292.jpg,965,572,no_hat,726,56,790,140
293.jpg,964,552,no_hat,751,115,858,232
293.jpg,964,552,no_hat,819,1,886,34
293.jpg,964,552,no_hat,945,6,964,68
294.jpg,963,552,no_hat,493,1,575,83
294.jpg,963,552,no_hat,369,1,449,52
295.jpg,957,587,no_hat,564,1,629,82
297.jpg,963,552,no_hat,695,38,746,99
298.jpg,965,588,no_hat,383,42,441,125
298.jpg,965,588,no_hat,292,1,339,53
298.jpg,965,588,no_hat,210,1,244,30
299.jpg,965,589,no_hat,416,82,470,160
299.jpg,965,589,no_hat,121,120,183,199
299.jpg,965,589,no_hat,798,59,847,164
300.jpg,962,550,no_hat,751,300,811,386
303.jpg,964,588,no_hat,669,1,701,18
305.jpg,963,593,no_hat,430,72,469,124
305.jpg,963,593,no_hat,714,47,746,90
306.jpg,963,538,no_hat,336,32,377,81
306.jpg,963,538,no_hat,433,45,469,99
306.jpg,963,538,no_hat,469,43,519,108
308.jpg,961,586,no_hat,211,280,363,420
309.jpg,963,584,no_hat,368,397,523,546
309.jpg,963,584,no_hat,462,192,604,314
310.jpg,961,590,no_hat,613,38,712,142
312.jpg,967,592,no_hat,429,109,495,149
319.jpg,963,541,no_hat,440,275,528,354
320.jpg,965,550,no_hat,872,271,920,372
322.jpg,963,550,no_hat,727,95,836,216
322.jpg,963,550,no_hat,535,24,606,143
322.jpg,963,550,no_hat,699,1,789,44
323.jpg,964,588,no_hat,589,57,676,168
323.jpg,964,588,no_hat,746,1,816,100
324.jpg,963,549,no_hat,103,244,190,372
324.jpg,963,549,no_hat,45,391,145,535
325.jpg,965,591,no_hat,135,249,207,389
326.jpg,961,548,no_hat,329,145,406,271
327.jpg,965,589,no_hat,402,155,496,257
327.jpg,965,589,no_hat,251,185,341,301
329.jpg,964,546,no_hat,448,29,534,193
329.jpg,964,546,no_hat,562,134,640,261
330.jpg,966,588,no_hat,337,54,429,194
331.jpg,963,550,no_hat,469,169,597,379
331.jpg,963,550,no_hat,632,194,799,407
332.jpg,966,587,no_hat,483,176,625,408
333.jpg,963,541,no_hat,379,277,475,446
334.jpg,962,586,no_hat,95,88,168,209
335.jpg,963,550,no_hat,121,110,212,229
336.jpg,965,549,no_hat,609,142,722,291
336.jpg,965,549,no_hat,607,15,685,102
340.jpg,963,588,no_hat,490,175,571,289
342.jpg,961,589,no_hat,657,160,699,255
343.jpg,963,550,no_hat,315,47,414,207
344.jpg,962,587,no_hat,318,313,648,569
345.jpg,964,550,no_hat,308,182,363,271
346.jpg,965,587,no_hat,312,342,363,421
347.jpg,964,547,no_hat,190,297,282,445
348.jpg,961,587,no_hat,226,290,307,419
350.jpg,965,554,no_hat,444,152,585,371
355.jpg,959,549,no_hat,151,224,283,336
356.jpg,963,552,no_hat,461,1,499,36
362.jpg,959,591,no_hat,311,30,355,92
364.jpg,963,550,no_hat,847,15,886,76
365.jpg,965,591,no_hat,752,76,787,152
365.jpg,965,591,no_hat,310,2,341,45
365.jpg,965,591,no_hat,289,7,317,43
365.jpg,965,591,no_hat,433,1,470,24
366.jpg,963,590,no_hat,487,1,516,41
367.jpg,964,553,no_hat,716,1,760,65
367.jpg,964,553,no_hat,190,56,262,113
368.jpg,962,539,no_hat,649,112,705,204
368.jpg,962,539,no_hat,506,265,570,381
369.jpg,963,590,no_hat,858,175,895,269
369.jpg,963,590,no_hat,844,45,873,90
369.jpg,963,590,no_hat,817,93,870,128
369.jpg,963,590,no_hat,387,20,426,73
370.jpg,965,590,no_hat,526,125,581,194
370.jpg,965,590,no_hat,465,27,505,73
370.jpg,965,590,no_hat,214,29,250,100
371.jpg,964,589,no_hat,407,1,487,52
375.jpg,963,588,no_hat,503,1,544,31
375.jpg,963,588,no_hat,369,1,415,29
377.jpg,965,590,no_hat,313,324,415,470
378.jpg,966,587,no_hat,533,85,597,186
379.jpg,962,588,no_hat,839,175,881,244
380.jpg,969,551,no_hat,897,185,933,278
380.jpg,969,551,no_hat,394,62,424,118
381.jpg,966,554,no_hat,740,234,793,327
382.jpg,964,590,no_hat,494,142,534,200
382.jpg,964,590,no_hat,400,145,421,189
385.jpg,966,588,no_hat,281,324,498,496
386.jpg,960,553,no_hat,299,211,509,463
390.jpg,963,589,no_hat,333,168,412,270
391.jpg,961,589,no_hat,691,1,756,45
391.jpg,961,589,no_hat,827,1,885,31
392.jpg,964,589,no_hat,674,1,739,51
392.jpg,964,589,no_hat,845,1,902,52
413.jpg,964,589,no_hat,88,246,140,306
414.jpg,966,590,no_hat,93,256,150,305
415.jpg,963,590,no_hat,764,224,807,309
419.jpg,964,587,no_hat,287,1,330,26
422.jpg,965,550,no_hat,21,168,72,232
422.jpg,965,550,no_hat,713,1,763,64
423.jpg,963,589,no_hat,271,218,345,357
423.jpg,963,589,no_hat,265,8,288,37
423.jpg,963,589,no_hat,260,1,279,20
423.jpg,963,589,no_hat,595,1,623,31
423.jpg,963,589,no_hat,895,190,918,226
423.jpg,963,589,no_hat,842,166,866,199
424.jpg,965,592,no_hat,794,49,817,97
424.jpg,965,592,no_hat,830,153,861,195
424.jpg,965,592,no_hat,885,174,914,220
424.jpg,965,592,no_hat,673,21,700,56
424.jpg,965,592,no_hat,267,4,309,30
425.jpg,962,551,no_hat,524,108,580,191
425.jpg,962,551,no_hat,789,1,830,47
425.jpg,962,551,no_hat,128,121,168,178
426.jpg,961,540,no_hat,536,352,624,436
430.jpg,961,553,no_hat,111,1,145,51
431.jpg,964,589,no_hat,116,143,193,253
432.jpg,967,590,no_hat,917,14,966,93
433.jpg,966,590,no_hat,605,504,781,590
434.jpg,963,552,no_hat,361,1,417,64
436.jpg,963,589,no_hat,342,30,371,83
438.jpg,964,553,no_hat,652,296,759,465
439.jpg,965,589,no_hat,284,227,325,301
439.jpg,965,589,no_hat,55,314,116,374
439.jpg,965,589,no_hat,30,282,79,333
440.jpg,964,550,no_hat,41,293,114,362
440.jpg,964,550,no_hat,24,264,83,316
440.jpg,964,550,no_hat,283,208,327,279
442.jpg,964,588,no_hat,403,351,474,485
443.jpg,962,553,no_hat,127,237,212,369
443.jpg,962,553,no_hat,303,361,444,547
444.jpg,964,592,no_hat,95,264,175,398
445.jpg,963,586,no_hat,157,134,216,257
446.jpg,959,590,no_hat,231,128,301,266
447.jpg,963,586,no_hat,338,262,491,528
449.jpg,964,588,no_hat,400,1,440,56
450.jpg,966,587,no_hat,24,306,91,428
451.jpg,961,550,no_hat,288,293,387,448
452.jpg,962,588,no_hat,385,138,491,327
453.jpg,962,589,no_hat,135,186,192,285
453.jpg,962,589,no_hat,164,197,218,246
454.jpg,963,589,no_hat,547,1,668,182
455.jpg,963,591,no_hat,578,347,638,508
456.jpg,963,589,no_hat,573,329,671,493
456.jpg,963,589,no_hat,701,377,829,582
457.jpg,965,592,no_hat,322,410,403,559
458.jpg,964,552,no_hat,519,166,588,283
459.jpg,963,552,no_hat,274,156,339,282
459.jpg,963,552,no_hat,484,180,558,289
460.jpg,962,549,no_hat,772,241,818,337
460.jpg,962,549,no_hat,422,409,518,520
461.jpg,965,589,no_hat,91,9,152,112
462.jpg,964,552,no_hat,431,50,575,159
463.jpg,966,573,no_hat,312,212,411,287
463.jpg,966,573,no_hat,38,114,111,231
464.jpg,967,589,no_hat,402,90,495,228
464.jpg,967,589,no_hat,1,198,64,288
465.jpg,963,549,no_hat,287,91,386,241
466.jpg,964,551,no_hat,753,136,827,260
467.jpg,964,589,no_hat,645,115,730,285
467.jpg,964,589,no_hat,168,303,323,399
468.jpg,964,588,no_hat,269,53,310,124
469.jpg,963,552,no_hat,147,217,225,342
470.jpg,960,550,no_hat,327,168,391,261
471.jpg,966,549,no_hat,546,270,616,394
472.jpg,966,551,no_hat,567,413,650,499
473.jpg,964,551,no_hat,923,131,960,201
474.jpg,966,548,no_hat,141,415,174,461
475.jpg,962,590,no_hat,759,231,791,305
475.jpg,962,590,no_hat,798,223,837,291
476.jpg,965,575,no_hat,230,1,304,109
477.jpg,964,551,no_hat,556,96,595,177
478.jpg,964,549,no_hat,435,442,506,526
478.jpg,964,549,no_hat,471,363,530,472
479.jpg,963,542,no_hat,420,192,464,260
479.jpg,963,542,no_hat,398,134,434,184
479.jpg,963,542,no_hat,382,91,414,129
480.jpg,965,543,no_hat,744,117,791,191
481.jpg,963,542,no_hat,256,31,360,179
482.jpg,964,578,no_hat,503,1,558,100
483.jpg,963,579,no_hat,549,82,639,267
485.jpg,966,581,no_hat,753,121,828,246
485.jpg,966,581,no_hat,652,84,728,168
485.jpg,966,581,no_hat,502,51,561,140
486.jpg,965,580,no_hat,778,101,832,218
486.jpg,965,580,no_hat,376,22,431,88
487.jpg,965,544,no_hat,1,264,76,378
487.jpg,965,544,no_hat,537,22,574,100
488.jpg,965,582,no_hat,124,131,165,206
488.jpg,965,582,no_hat,255,62,295,113
489.jpg,965,581,no_hat,286,312,374,368
489.jpg,965,581,no_hat,931,68,950,110
490.jpg,963,580,no_hat,493,1,547,69
492.jpg,730,552,no_hat,208,1,314,90
494.jpg,800,480,no_hat,170,1,213,65
498.jpg,800,428,no_hat,584,1,694,183
498.jpg,800,428,no_hat,730,1,782,40
500.jpg,713,461,no_hat,258,41,319,138
500.jpg,713,461,no_hat,663,64,712,146
Scrshot_1.jpg,1280,720,no_hat,412,1,500,85
Scrshot_1.jpg,1280,720,no_hat,484,1,581,54
Scrshot_100.jpg,1280,720,no_hat,662,1,736,72
Scrshot_1007.jpg,1280,720,no_hat,474,1,550,40
Scrshot_1008.jpg,1280,720,no_hat,558,1,616,23
Scrshot_101.jpg,1280,720,no_hat,588,1,667,48
Scrshot_1015.jpg,1280,720,no_hat,475,1,536,43
Scrshot_1016.jpg,1280,720,no_hat,470,1,523,40
Scrshot_1018.jpg,1280,720,no_hat,481,1,543,63
Scrshot_1019.jpg,1280,720,no_hat,470,1,543,72
Scrshot_102.jpg,1280,720,no_hat,625,1,698,52
Scrshot_1020.jpg,1280,720,no_hat,469,1,547,49
Scrshot_1021.jpg,1280,720,no_hat,485,1,575,64
Scrshot_104.jpg,1280,720,no_hat,596,1,673,48
Scrshot_105.jpg,1280,720,no_hat,610,1,693,61
Scrshot_1052.jpg,1280,720,no_hat,929,486,1003,613
Scrshot_107.jpg,1280,720,no_hat,622,1,705,51
Scrshot_1074.jpg,1280,720,no_hat,408,643,503,720
Scrshot_113.jpg,1280,720,no_hat,224,1,419,150
Scrshot_1131.jpg,1280,720,no_hat,834,131,993,321
Scrshot_1133.jpg,1280,720,no_hat,609,232,805,457
Scrshot_1135.jpg,1280,720,no_hat,975,1,1076,61
Scrshot_1136.jpg,1280,720,no_hat,841,38,973,227
Scrshot_1137.jpg,1280,720,no_hat,1003,1,1095,61
Scrshot_1138.jpg,1280,720,no_hat,942,1,1041,64
Scrshot_1140.jpg,1280,720,no_hat,567,3,662,80
Scrshot_1141.jpg,1280,720,no_hat,586,1,654,85
Scrshot_1142.jpg,1280,720,no_hat,552,1,641,66
Scrshot_1143.jpg,1280,720,no_hat,232,79,347,165
Scrshot_115.jpg,1280,720,no_hat,412,1,490,61
Scrshot_1162.jpg,1280,720,no_hat,276,243,362,316
Scrshot_118.jpg,1280,720,no_hat,610,9,787,169
Scrshot_1193.jpg,1280,720,no_hat,723,139,936,433
Scrshot_1194.jpg,1280,720,no_hat,646,325,768,484
Scrshot_1225.jpg,1280,720,no_hat,489,465,647,679
Scrshot_1226.jpg,1280,720,no_hat,208,185,341,374
Scrshot_1226.jpg,1280,720,no_hat,586,42,664,150
Scrshot_1227.jpg,1280,720,no_hat,206,196,335,392
Scrshot_1228.jpg,1280,720,no_hat,1083,383,1228,577
Scrshot_1229.jpg,1280,720,no_hat,213,379,341,568
Scrshot_1230.jpg,1280,720,no_hat,587,235,705,414
Scrshot_1230.jpg,1280,720,no_hat,568,31,636,168
Scrshot_1231.jpg,1280,720,no_hat,308,177,445,359
Scrshot_1231.jpg,1280,720,no_hat,99,232,242,403
Scrshot_1232.jpg,1280,720,no_hat,278,188,431,383
Scrshot_1232.jpg,1280,720,no_hat,61,228,193,418
Scrshot_1233.jpg,1280,720,no_hat,279,193,435,379
Scrshot_1233.jpg,1280,720,no_hat,726,113,813,259
Scrshot_1234.jpg,1280,720,no_hat,172,211,321,395
Scrshot_1235.jpg,1280,720,no_hat,524,21,586,118
Scrshot_1236.jpg,1280,720,no_hat,53,261,186,421
Scrshot_1237.jpg,1280,720,no_hat,17,244,146,433
Scrshot_1237.jpg,1280,720,no_hat,549,40,643,138
Scrshot_1238.jpg,1280,720,no_hat,534,13,604,127
Scrshot_1238.jpg,1280,720,no_hat,71,242,213,438
Scrshot_1239.jpg,1280,720,no_hat,15,236,84,473
Scrshot_1240.jpg,1280,720,no_hat,87,248,231,422
Scrshot_1240.jpg,1280,720,no_hat,624,72,720,177
Scrshot_1241.jpg,1280,720,no_hat,38,201,169,417
Scrshot_1241.jpg,1280,720,no_hat,523,50,641,154
Scrshot_1242.jpg,1280,720,no_hat,23,207,172,440
Scrshot_1242.jpg,1280,720,no_hat,549,9,621,147
Scrshot_1243.jpg,1280,720,no_hat,49,210,199,418
Scrshot_1243.jpg,1280,720,no_hat,521,28,587,142
Scrshot_1244.jpg,1280,720,no_hat,662,173,782,361
Scrshot_1244.jpg,1280,720,no_hat,553,42,653,157
Scrshot_1245.jpg,1280,720,no_hat,756,98,856,261
Scrshot_1245.jpg,1280,720,no_hat,538,21,609,150
Scrshot_1245.jpg,1280,720,no_hat,1027,436,1176,638
Scrshot_1246.jpg,1280,720,no_hat,104,196,230,368
Scrshot_1247.jpg,1280,720,no_hat,90,240,243,418
Scrshot_1247.jpg,1280,720,no_hat,1008,425,1142,617
Scrshot_1248.jpg,1280,720,no_hat,543,538,758,720
Scrshot_1249.jpg,1280,720,no_hat,272,169,398,355
Scrshot_1249.jpg,1280,720,no_hat,31,192,160,411
Scrshot_125.jpg,1280,720,no_hat,378,1,578,225
Scrshot_125.jpg,1280,720,no_hat,608,6,769,162
Scrshot_1251.jpg,1280,720,no_hat,53,201,224,420
Scrshot_1252.jpg,1280,720,no_hat,135,370,328,702
Scrshot_1253.jpg,1280,720,no_hat,750,122,853,303
Scrshot_1253.jpg,1280,720,no_hat,557,58,675,157
Scrshot_1254.jpg,1280,720,no_hat,1068,339,1191,558
Scrshot_1272.jpg,1280,720,no_hat,1091,392,1280,570
Scrshot_1276.jpg,1280,720,no_hat,542,94,634,174
Scrshot_1281.jpg,1280,720,no_hat,654,58,761,192
Scrshot_1287.jpg,1280,720,no_hat,565,21,636,148
Scrshot_1288.jpg,1280,720,no_hat,667,64,779,191
Scrshot_1291.jpg,1280,720,no_hat,538,16,627,157
Scrshot_1293.jpg,1280,720,no_hat,973,291,1099,531
Scrshot_1294.jpg,1280,720,no_hat,75,576,287,720
Scrshot_1295.jpg,1280,720,no_hat,962,254,1080,491
Scrshot_1296.jpg,1280,720,no_hat,960,374,1198,581
Scrshot_1297.jpg,1280,720,no_hat,1026,455,1228,633
Scrshot_1298.jpg,1280,720,no_hat,669,343,849,624
Scrshot_1302.jpg,1280,720,no_hat,549,314,746,628
Scrshot_1304.jpg,1280,720,no_hat,279,162,442,357
Scrshot_1305.jpg,1280,720,no_hat,467,99,601,294
Scrshot_1306.jpg,1280,720,no_hat,527,20,621,147
Scrshot_1307.jpg,1280,720,no_hat,502,155,608,285
Scrshot_1308.jpg,1280,720,no_hat,693,85,826,248
Scrshot_1309.jpg,1280,720,no_hat,216,218,380,402
Scrshot_1310.jpg,1280,720,no_hat,1,264,138,410
Scrshot_1311.jpg,1280,720,no_hat,513,242,687,477
Scrshot_1312.jpg,1280,720,no_hat,1078,414,1256,633
Scrshot_1313.jpg,1280,720,no_hat,1053,457,1280,632
Scrshot_1314.jpg,1280,720,no_hat,1078,447,1280,608
Scrshot_1315.jpg,1280,720,no_hat,961,339,1105,595
Scrshot_1316.jpg,1280,720,no_hat,1038,339,1201,583
Scrshot_1317.jpg,1280,720,no_hat,809,405,1002,710
Scrshot_1332.jpg,1280,720,no_hat,138,151,275,311
Scrshot_1332.jpg,1280,720,no_hat,508,98,678,324
Scrshot_1333.jpg,1280,720,no_hat,353,3,505,205
Scrshot_1333.jpg,1280,720,no_hat,686,1,849,165
Scrshot_1333.jpg,1280,720,no_hat,4,227,124,379
Scrshot_1334.jpg,1280,720,no_hat,258,51,358,201
